Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,1,91.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,2,54.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,3,45.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,4,46.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,5,72.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,6,56.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,7,43.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,8,39.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,9,37.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_0,10,33.0,91,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,1,40.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,2,34.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,3,36.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,4,35.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,5,36.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,6,38.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,7,32.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,8,37.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,9,39.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_1,10,38.0,40,32
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,1,97.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,2,63.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,3,52.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,4,42.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,5,43.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,6,26.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,7,31.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,8,33.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,9,27.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_2,10,29.0,97,22
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,1,88.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,2,56.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,3,47.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,4,45.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,5,46.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,6,42.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,7,43.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,8,49.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,9,42.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_3,10,37.0,88,29
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,1,90.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,2,73.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,3,54.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,4,45.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,5,46.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,6,36.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,7,37.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,8,38.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,9,38.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_4,10,34.0,90,27
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,1,88.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,2,57.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,3,48.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,4,46.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,5,38.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,6,23.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,7,23.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,8,25.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,9,24.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_5,10,24.0,88,20
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_6,1,82.0,82,21
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_6,2,57.0,82,21
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_6,3,47.0,82,21
01f31f7e-7e14-4c5b-8311-136e9a50842a,provider_6,4,48.0,82,21
