Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,1,85.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,2,69.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,3,48.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,4,42.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,5,40.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,6,46.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,7,45.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,8,39.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,9,37.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_0,10,33.0,85,24
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,1,40.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,2,34.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,3,29.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,4,28.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,5,32.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,6,36.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,7,37.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,8,38.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,9,34.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_1,10,31.0,40,25
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,1,92.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,2,64.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,3,54.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,4,45.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,5,82.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,6,50.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,7,50.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,8,49.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,9,46.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_2,10,47.0,92,34
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,1,90.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,2,57.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,3,46.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,4,47.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,5,79.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,6,48.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,7,44.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,8,36.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,9,34.0,90,21
04176236-f4e7-42f3-b648-d56cd1db3752,provider_3,10,30.0,90,21
