Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,1,81.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,2,66.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,3,46.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,4,41.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,5,42.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,6,44.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,7,44.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,8,43.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,9,42.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_0,10,39.0,81,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,1,40.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,2,35.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,3,39.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,4,35.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,5,37.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,6,35.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,7,36.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,8,36.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,9,36.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_1,10,39.0,40,35
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,1,87.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,2,53.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,3,48.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,4,46.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,5,44.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,6,84.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,7,63.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,8,45.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,9,51.0,87,36
050dac29-61cf-47ea-a592-f96ad4fd13a9,provider_2,10,46.0,87,36
