Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
05152199-238f-44e2-9c65-34b68ba45495,provider_0,1,86.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,2,60.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,3,51.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,4,50.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,5,48.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,6,51.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,7,55.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,8,47.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,9,47.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_0,10,41.0,86,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,1,40.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,2,36.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,3,36.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,4,39.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,5,39.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,6,38.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,7,37.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,8,38.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,9,38.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_1,10,37.0,40,36
05152199-238f-44e2-9c65-34b68ba45495,provider_2,1,84.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,2,68.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,3,55.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,4,39.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,5,44.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,6,40.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,7,43.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,8,35.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,9,43.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_2,10,39.0,84,24
05152199-238f-44e2-9c65-34b68ba45495,provider_3,1,90.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,2,58.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,3,48.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,4,42.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,5,43.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,6,57.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,7,48.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,8,27.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,9,27.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_3,10,28.0,90,20
05152199-238f-44e2-9c65-34b68ba45495,provider_4,1,99.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,2,64.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,3,48.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,4,33.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,5,52.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,6,42.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,7,53.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,8,43.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,9,44.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_4,10,41.0,99,31
05152199-238f-44e2-9c65-34b68ba45495,provider_5,1,84.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,2,54.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,3,44.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,4,40.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,5,41.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,6,38.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,7,41.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,8,34.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,9,32.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_5,10,28.0,84,22
05152199-238f-44e2-9c65-34b68ba45495,provider_6,1,93.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,2,60.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,3,50.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,4,41.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,5,42.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,6,21.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,7,34.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,8,40.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,9,32.0,93,21
05152199-238f-44e2-9c65-34b68ba45495,provider_6,10,30.0,93,21
