Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,1,89.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,2,56.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,3,47.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,4,76.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,5,57.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,6,48.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,7,36.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,8,34.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,9,35.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_0,10,33.0,89,24
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,1,40.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,2,34.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,3,32.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,4,40.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,5,35.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,6,37.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,7,38.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,8,39.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,9,39.0,40,32
0640d232-388c-47f0-89ef-1a46d1a18e90,provider_1,10,35.0,40,32
