Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,1,80.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,2,48.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,3,44.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,4,42.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,5,43.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,6,40.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,7,58.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,8,33.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,9,35.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_0,10,33.0,80,33
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,1,40.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,2,34.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,3,29.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,4,29.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,5,28.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,6,28.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,7,28.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,8,28.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,9,26.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_1,10,26.0,40,25
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,1,81.0,81,20
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,2,52.0,81,20
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,3,43.0,81,20
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,4,41.0,81,20
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,5,43.0,81,20
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,6,40.0,81,20
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,7,33.0,81,20
0a60eacb-fa40-4633-8ac5-e72dcba5010d,provider_2,8,41.0,81,20
