Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,1,82.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,2,50.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,3,42.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,4,41.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,5,45.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,6,48.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,7,48.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,8,48.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,9,47.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_0,10,43.0,82,36
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,1,40.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,2,38.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,3,38.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,4,39.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,5,39.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,6,39.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,7,38.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,8,38.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,9,39.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_1,10,38.0,40,38
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,1,97.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,2,63.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,3,51.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,4,73.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,5,54.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,6,46.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,7,46.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,8,73.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,9,53.0,97,31
0b90d83b-b8e1-4ba4-8410-483c19dbc89f,provider_2,10,50.0,97,31
