Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,1,82.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,2,60.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,3,52.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,4,45.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,5,40.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,6,46.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,7,46.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,8,41.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,9,38.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_0,10,36.0,82,28
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,1,40.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,2,29.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,3,24.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,4,24.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,5,25.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,6,25.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,7,25.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,8,25.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,9,25.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_1,10,24.0,40,24
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,1,82.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,2,67.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,3,50.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,4,46.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,5,46.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,6,41.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,7,56.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,8,40.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,9,40.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_2,10,40.0,82,31
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,1,93.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,2,60.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,3,84.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,4,35.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,5,36.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,6,56.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,7,80.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,8,41.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,9,48.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_3,10,43.0,93,29
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,1,94.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,2,77.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,3,63.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,4,48.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,5,84.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,6,65.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,7,50.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,8,49.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,9,44.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_4,10,49.0,94,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,1,83.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,2,68.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,3,57.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,4,48.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,5,42.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,6,40.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,7,39.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,8,51.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,9,47.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_5,10,44.0,83,34
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,1,93.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,2,65.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,3,55.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,4,50.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,5,69.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,6,47.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,7,51.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,8,52.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,9,46.0,93,35
0f51e114-a64f-48f9-9d9a-8ffc5ed05ae8,provider_6,10,43.0,93,35
