Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,1,95.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,2,63.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,3,52.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,4,46.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,5,84.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,6,68.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,7,78.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,8,60.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,9,52.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_0,10,53.0,95,39
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,1,40.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,2,38.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,3,36.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,4,39.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,5,33.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,6,33.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,7,37.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,8,33.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,9,38.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_1,10,38.0,40,33
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,1,88.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,2,53.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,3,48.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,4,45.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,5,43.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,6,39.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,7,40.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,8,41.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,9,37.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_2,10,34.0,88,24
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,1,92.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,2,59.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,3,48.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,4,32.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,5,33.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,6,33.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,7,36.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,8,33.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,9,55.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_3,10,43.0,92,21
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,1,85.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,2,55.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,3,45.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,4,46.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,5,74.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,6,57.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,7,47.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,8,38.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,9,34.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_4,10,31.0,85,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,1,98.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,2,63.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,3,53.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,4,38.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,5,53.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,6,50.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,7,42.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,8,34.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,9,31.0,98,22
105c23e5-c60e-4b3c-b664-8f5cf51f5372,provider_5,10,31.0,98,22
