Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,1,80.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,2,33.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,3,34.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,4,35.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,5,33.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,6,35.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,7,35.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,8,35.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,9,35.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_0,10,35.0,80,24
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,1,40.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,2,34.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,3,32.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,4,33.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,5,33.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,6,31.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,7,35.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,8,30.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,9,28.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_1,10,29.0,40,28
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,1,87.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,2,60.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,3,51.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,4,47.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,5,48.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,6,46.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,7,58.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,8,53.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,9,48.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_2,10,45.0,87,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,1,99.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,2,69.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,3,47.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,4,69.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,5,53.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,6,97.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,7,54.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,8,63.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,9,42.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_3,10,52.0,99,38
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,1,85.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,2,51.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,3,45.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,4,43.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,5,43.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,6,40.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,7,55.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,8,47.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,9,44.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_4,10,39.0,85,26
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,1,84.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,2,60.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,3,46.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,4,44.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,5,44.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,6,46.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,7,46.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,8,45.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,9,44.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_5,10,45.0,84,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,1,86.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,2,60.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,3,33.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,4,56.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,5,45.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,6,54.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,7,45.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,8,49.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,9,45.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_6,10,43.0,86,33
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,1,83.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,2,70.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,3,51.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,4,49.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,5,44.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,6,46.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,7,47.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,8,54.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,9,49.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_7,10,43.0,83,35
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,1,96.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,2,78.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,3,63.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,4,49.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,5,51.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,6,53.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,7,62.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,8,35.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,9,57.0,96,32
13fc52ae-43fc-41cc-ace6-c3af824477b1,provider_8,10,44.0,96,32
