Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,1,82.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,2,68.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,3,57.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,4,50.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,5,43.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,6,70.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,7,52.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,8,63.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,9,59.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_0,10,53.0,82,39
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,1,40.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,2,33.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,3,28.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,4,28.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,5,28.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,6,28.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,7,26.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,8,25.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,9,24.0,40,23
14b98faf-563a-45e6-af37-a72b86b29aa8,provider_1,10,23.0,40,23
