Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,1,95.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,2,61.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,3,45.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,4,46.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,5,32.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,6,37.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,7,40.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,8,32.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,9,32.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_0,10,32.0,95,23
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,1,40.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,2,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,3,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,4,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,5,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,6,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,7,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,8,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,9,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_1,10,39.0,40,39
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,1,80.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,2,65.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,3,45.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,4,41.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,5,41.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,6,40.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,7,47.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,8,44.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,9,36.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_2,10,34.0,80,26
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,1,95.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,2,66.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,3,56.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,4,47.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,5,49.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,6,46.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,7,61.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,8,46.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,9,78.0,95,36
14db7c6a-7bc6-4086-be66-5aafe7483f17,provider_3,10,74.0,95,36
