Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,1,85.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,2,55.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,3,45.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,4,37.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,5,38.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,6,36.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,7,43.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,8,36.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,9,34.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_0,10,31.0,85,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,1,40.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,2,30.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,3,28.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,4,28.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,5,28.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,6,28.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,7,38.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,8,31.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,9,28.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_1,10,28.0,40,28
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,1,84.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,2,68.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,3,42.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,4,47.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,5,48.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,6,43.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,7,46.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,8,45.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,9,44.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_2,10,38.0,84,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,1,86.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,2,60.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,3,50.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,4,42.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,5,53.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,6,42.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,7,58.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,8,49.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,9,47.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_3,10,42.0,86,35
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,1,88.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,2,36.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,3,67.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,4,51.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,5,43.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,6,53.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,7,51.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,8,46.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,9,53.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_4,10,50.0,88,36
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,1,86.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,2,55.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,3,45.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,4,36.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,5,37.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,6,71.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,7,41.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,8,29.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,9,27.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_5,10,27.0,86,20
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,1,86.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,2,60.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,3,46.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,4,48.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,5,46.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,6,46.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,7,57.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,8,51.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,9,46.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_6,10,43.0,86,34
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_7,1,87.0,87,32
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_7,2,71.0,87,32
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_7,3,32.0,87,32
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_7,4,44.0,87,32
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_7,5,55.0,87,32
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_7,6,46.0,87,32
162c5e4c-3b1d-4db0-98ea-0b084d67ac9c,provider_7,7,53.0,87,32
