Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,1,99.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,2,64.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,3,46.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,4,47.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,5,30.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,6,38.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,7,31.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,8,30.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,9,38.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_0,10,34.0,99,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,1,40.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,2,34.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,3,29.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,4,26.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,5,26.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,6,26.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,7,25.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,8,25.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,9,25.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_1,10,25.0,40,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,1,84.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,2,58.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,3,49.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,4,47.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,5,55.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,6,46.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,7,46.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,8,47.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,9,45.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_2,10,40.0,84,36
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,1,95.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,2,77.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,3,53.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,4,43.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,5,85.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,6,66.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,7,54.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,8,55.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,9,62.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_3,10,59.0,95,35
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,1,97.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,2,63.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,3,52.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,4,42.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,5,27.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,6,28.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,7,29.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,8,29.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,9,33.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_4,10,29.0,97,21
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,1,82.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,2,67.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,3,50.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,4,39.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,5,40.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,6,40.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,7,43.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,8,35.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,9,33.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_5,10,32.0,82,25
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,1,82.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,2,32.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,3,36.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,4,41.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,5,40.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,6,40.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,7,61.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,8,47.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,9,60.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_6,10,34.0,82,29
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,1,93.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,2,76.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,3,47.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,4,52.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,5,42.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,6,52.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,7,56.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,8,53.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,9,83.0,93,39
168fe8ad-4d5b-4429-a702-6abf73468069,provider_7,10,70.0,93,39
