Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,1,81.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,2,58.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,3,39.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,4,40.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,5,40.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,6,40.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,7,40.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,8,39.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,9,38.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_0,10,36.0,81,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,1,40.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,2,34.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,3,34.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,4,37.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,5,35.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,6,35.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,7,38.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,8,35.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,9,35.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_1,10,36.0,40,33
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,1,84.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,2,58.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,3,49.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,4,44.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,5,45.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,6,43.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,7,45.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,8,45.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,9,44.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_2,10,39.0,84,31
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,1,93.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,2,60.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,3,51.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,4,45.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,5,46.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,6,72.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,7,48.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,8,31.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,9,50.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_3,10,42.0,93,26
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,1,87.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,2,53.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,3,51.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,4,49.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,5,47.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,6,58.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,7,56.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,8,48.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,9,43.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_4,10,58.0,87,37
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,1,80.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,2,65.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,3,47.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,4,39.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,5,40.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,6,43.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,7,44.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,8,42.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,9,41.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_5,10,37.0,80,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,1,97.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,2,63.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,3,52.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,4,49.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,5,43.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,6,54.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,7,50.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,8,41.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,9,39.0,97,30
180d5e2b-6775-4208-add3-3d6ef6aaa752,provider_6,10,37.0,97,30
