Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,1,80.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,2,65.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,3,51.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,4,44.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,5,42.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,6,41.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,7,44.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,8,40.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,9,43.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_0,10,37.0,80,29
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,1,40.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,2,35.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,3,30.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,4,29.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,5,27.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,6,27.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,7,27.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,8,27.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,9,27.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_1,10,25.0,40,24
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,1,94.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,2,60.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,3,51.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,4,45.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,5,47.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,6,37.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,7,49.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,8,36.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,9,35.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_2,10,32.0,94,25
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,1,81.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,2,52.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,3,43.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,4,40.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,5,41.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,6,41.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,7,41.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,8,37.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,9,36.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_3,10,33.0,81,23
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,1,81.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,2,66.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,3,48.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,4,43.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,5,44.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,6,43.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,7,46.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,8,45.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,9,44.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_4,10,40.0,81,34
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,1,85.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,2,69.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,3,38.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,4,46.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,5,45.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,6,45.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,7,45.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,8,49.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,9,46.0,85,33
1a1296ab-fa8f-451b-8c4d-9954bac37958,provider_5,10,43.0,85,33
