Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,1,83.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,2,62.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,3,42.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,4,46.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,5,47.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,6,69.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,7,51.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,8,56.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,9,51.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_0,10,47.0,83,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,1,40.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,2,38.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,3,39.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,4,37.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,5,38.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,6,37.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,7,38.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,8,39.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,9,39.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_1,10,39.0,40,37
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,1,90.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,2,43.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,3,82.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,4,61.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,5,42.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,6,40.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,7,55.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,8,72.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,9,51.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_2,10,47.0,90,38
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,1,89.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,2,62.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,3,44.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,4,49.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,5,47.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,6,44.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,7,84.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,8,62.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,9,49.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_3,10,44.0,89,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,1,84.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,2,68.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,3,50.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,4,43.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,5,48.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,6,43.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,7,42.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,8,48.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,9,45.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_4,10,42.0,84,36
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,1,80.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,2,67.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,3,50.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,4,42.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,5,45.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,6,43.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,7,50.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,8,55.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,9,54.0,80,39
1bdba859-c01c-4032-b642-76e4ed741e29,provider_5,10,50.0,80,39
