Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,1,92.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,2,58.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,3,43.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,4,44.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,5,49.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,6,79.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,7,64.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,8,47.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,9,38.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_0,10,32.0,92,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,1,40.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,2,34.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,3,30.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,4,34.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,5,30.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,6,39.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,7,33.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,8,38.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,9,32.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_1,10,31.0,40,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,1,92.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,2,56.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,3,52.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,4,73.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,5,59.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,6,47.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,7,52.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,8,53.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,9,67.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_2,10,54.0,92,33
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,1,90.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,2,58.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,3,53.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,4,46.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,5,78.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,6,47.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,7,46.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,8,42.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,9,38.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_3,10,40.0,90,29
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,1,81.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,2,56.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,3,69.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,4,46.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,5,51.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,6,45.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,7,45.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,8,43.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,9,43.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_4,10,40.0,81,30
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_5,1,96.0,96,28
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_5,2,58.0,96,28
1db661d1-8bd6-4800-94bc-6c8c7c100752,provider_5,3,48.0,96,28
