Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,1,83.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,2,53.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,3,49.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,4,44.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,5,39.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,6,40.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,7,39.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,8,52.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,9,42.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_0,10,39.0,83,22
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,1,40.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,2,34.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,3,35.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,4,30.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,5,30.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,6,31.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,7,31.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,8,32.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,9,30.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_1,10,38.0,40,30
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,1,91.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,2,59.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,3,40.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,4,35.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,5,67.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,6,49.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,7,40.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,8,32.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,9,26.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_2,10,49.0,91,23
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,1,83.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,2,62.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,3,55.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,4,46.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,5,40.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,6,73.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,7,54.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,8,63.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,9,48.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_3,10,63.0,83,39
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,1,96.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,2,78.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,3,54.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,4,45.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,5,47.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,6,49.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,7,94.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,8,54.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,9,42.0,96,33
1e3a8ba0-a632-407f-bcd2-dfacdd132efb,provider_4,10,33.0,96,33
