Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,1,86.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,2,55.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,3,46.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,4,44.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,5,45.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,6,43.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,7,43.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,8,36.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,9,36.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_0,10,33.0,86,21
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,1,40.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,2,38.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,3,38.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,4,39.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,5,39.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,6,38.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,7,39.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,8,39.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,9,39.0,40,38
1ea8843c-86ad-4edb-9b08-501d33912222,provider_1,10,39.0,40,38
