Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,1,93.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,2,60.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,3,49.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,4,51.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,5,38.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,6,33.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,7,32.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,8,30.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,9,40.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_0,10,35.0,93,20
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,1,40.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,2,35.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,3,30.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,4,28.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,5,27.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,6,27.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,7,27.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,8,27.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,9,25.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_1,10,25.0,40,25
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,1,89.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,2,72.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,3,50.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,4,44.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,5,84.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,6,58.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,7,49.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,8,60.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,9,55.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_2,10,78.0,89,37
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,1,99.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,2,63.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,3,44.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,4,45.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,5,46.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,6,50.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,7,52.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,8,43.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,9,63.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_3,10,57.0,99,32
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,1,97.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,2,63.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,3,52.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,4,42.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,5,43.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,6,30.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,7,31.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,8,32.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,9,34.0,97,23
1ed9edc9-af5e-4b2c-b466-f4f65f86abc0,provider_4,10,33.0,97,23
