Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,1,92.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,2,58.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,3,48.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,4,50.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,5,44.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,6,49.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,7,51.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,8,37.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,9,45.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_0,10,43.0,92,29
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,1,40.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,2,38.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,3,28.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,4,26.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,5,27.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,6,27.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,7,27.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,8,25.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,9,24.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_1,10,23.0,40,23
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,1,99.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,2,81.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,3,60.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,4,40.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,5,34.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,6,37.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,7,40.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,8,41.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,9,33.0,99,25
21b399b5-2d10-4c11-bac3-7e3bf9bd21db,provider_2,10,29.0,99,25
