Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,1,98.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,2,68.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,3,49.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,4,66.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,5,87.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,6,37.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,7,58.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,8,45.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,9,37.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_0,10,64.0,98,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,1,40.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,2,32.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,3,27.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,4,25.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,5,24.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,6,24.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,7,24.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,8,24.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,9,24.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_1,10,24.0,40,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,1,90.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,2,58.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,3,53.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,4,48.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,5,42.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,6,36.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,7,36.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,8,39.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,9,35.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_2,10,32.0,90,24
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,1,92.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,2,56.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,3,77.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,4,36.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,5,43.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,6,56.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,7,47.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,8,52.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,9,45.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_3,10,48.0,92,36
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,1,96.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,2,78.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,3,57.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,4,48.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,5,77.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,6,53.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,7,57.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,8,72.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,9,64.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_4,10,57.0,96,38
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,1,84.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,2,54.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,3,45.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,4,40.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,5,41.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,6,38.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,7,64.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,8,39.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,9,31.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_5,10,27.0,84,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,1,86.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,2,60.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,3,51.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,4,59.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,5,41.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,6,44.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,7,45.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,8,46.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,9,45.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_6,10,45.0,86,35
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,1,84.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,2,51.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,3,49.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,4,47.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,5,47.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,6,45.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,7,46.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,8,44.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,9,42.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_7,10,42.0,84,32
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,1,92.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,2,59.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,3,26.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,4,27.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,5,46.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,6,38.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,7,31.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,8,54.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,9,37.0,92,20
21df8083-2cd3-476a-b7c3-e39feb499439,provider_8,10,34.0,92,20
