Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,1,85.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,2,51.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,3,46.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,4,41.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,5,62.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,6,50.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,7,47.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,8,46.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,9,43.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_0,10,40.0,85,30
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,1,40.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,2,35.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,3,30.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,4,30.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,5,29.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,6,29.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,7,29.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,8,29.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,9,27.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_1,10,25.0,40,24
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,1,97.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,2,79.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,3,33.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,4,36.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,5,42.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,6,80.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,7,59.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,8,54.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,9,59.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_2,10,46.0,97,33
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,1,97.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,2,63.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,3,52.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,4,45.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,5,57.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,6,46.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,7,48.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,8,35.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,9,61.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_3,10,35.0,97,27
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,1,87.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,2,62.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,3,43.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,4,48.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,5,40.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,6,42.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,7,50.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,8,40.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,9,38.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_4,10,36.0,87,26
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,1,97.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,2,63.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,3,37.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,4,30.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,5,31.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,6,39.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,7,53.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,8,38.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,9,32.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_5,10,42.0,97,20
223b1640-eab2-4062-a95b-26157a1ad93d,provider_6,1,90.0,90,34
223b1640-eab2-4062-a95b-26157a1ad93d,provider_6,2,54.0,90,34
223b1640-eab2-4062-a95b-26157a1ad93d,provider_6,3,49.0,90,34
223b1640-eab2-4062-a95b-26157a1ad93d,provider_6,4,65.0,90,34
223b1640-eab2-4062-a95b-26157a1ad93d,provider_6,5,51.0,90,34
223b1640-eab2-4062-a95b-26157a1ad93d,provider_6,6,46.0,90,34
