Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,1,93.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,2,60.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,3,43.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,4,31.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,5,32.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,6,33.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,7,39.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,8,32.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,9,45.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_0,10,40.0,93,22
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,1,40.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,2,33.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,3,38.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,4,38.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,5,33.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,6,33.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,7,34.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,8,32.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,9,40.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_1,10,35.0,40,30
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,1,89.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,2,54.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,3,42.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,4,34.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,5,48.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,6,44.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,7,47.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,8,28.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,9,33.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_2,10,33.0,89,25
23018b24-ae10-4b27-8630-43f478a5d8af,provider_3,1,95.0,95,23
23018b24-ae10-4b27-8630-43f478a5d8af,provider_3,2,39.0,95,23
