Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,1,97.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,2,59.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,3,54.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,4,56.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,5,63.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,6,56.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,7,91.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,8,80.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,9,56.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_0,10,48.0,97,39
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,1,40.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,2,38.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,3,32.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,4,37.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,5,31.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,6,31.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,7,33.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,8,30.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,9,30.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_1,10,30.0,40,30
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,1,97.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,2,59.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,3,51.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,4,53.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,5,55.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,6,50.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,7,72.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,8,41.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,9,40.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_2,10,35.0,97,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,1,86.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,2,36.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,3,56.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,4,43.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,5,43.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,6,43.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,7,44.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,8,44.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,9,42.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_3,10,39.0,86,29
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,1,90.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,2,73.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,3,54.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,4,45.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,5,86.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,6,52.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,7,86.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,8,76.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,9,52.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_4,10,54.0,90,35
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,1,85.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,2,62.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,3,34.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,4,36.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,5,37.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,6,67.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,7,49.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,8,42.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,9,39.0,85,31
2473ed19-2bb0-49d1-a390-09a33d01519b,provider_5,10,36.0,85,31
