Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,1,80.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,2,52.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,3,44.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,4,42.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,5,40.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,6,38.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,7,37.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,8,35.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,9,34.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_0,10,34.0,80,21
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,1,40.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,2,35.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,3,37.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,4,39.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,5,39.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,6,39.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,7,37.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,8,38.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,9,38.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_1,10,39.0,40,35
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,1,93.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,2,76.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,3,65.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,4,51.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,5,43.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,6,45.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,7,46.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,8,37.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,9,34.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_2,10,58.0,93,33
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,1,84.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,2,58.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,3,48.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,4,50.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,5,48.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,6,43.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,7,49.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,8,46.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,9,45.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_3,10,43.0,84,36
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,1,98.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,2,80.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,3,56.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,4,50.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,5,87.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,6,59.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,7,87.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,8,66.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,9,59.0,98,39
247d84d0-8f00-41f2-9dc2-e8115431c1e3,provider_4,10,89.0,98,39
