Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,1,88.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,2,53.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,3,48.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,4,46.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,5,47.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,6,47.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,7,47.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,8,46.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,9,48.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_0,10,43.0,88,34
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,1,40.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,2,34.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,3,29.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,4,28.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,5,27.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,6,27.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,7,27.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,8,27.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,9,31.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_1,10,31.0,40,26
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,1,82.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,2,57.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,3,47.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,4,49.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,5,47.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,6,44.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,7,51.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,8,52.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,9,46.0,82,38
271bb51e-b297-4fdd-b1a8-d2edb785dcde,provider_2,10,75.0,82,38
