Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,1,90.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,2,73.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,3,51.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,4,64.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,5,49.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,6,47.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,7,47.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,8,38.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,9,55.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_0,10,50.0,90,36
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,1,40.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,2,34.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,3,35.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,4,35.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,5,36.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,6,37.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,7,31.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,8,39.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,9,35.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_1,10,31.0,40,31
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,1,87.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,2,70.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,3,49.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,4,42.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,5,78.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,6,84.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,7,63.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,8,83.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,9,46.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_2,10,78.0,87,39
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_3,1,81.0,81,30
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_3,2,66.0,81,30
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_3,3,51.0,81,30
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_3,4,56.0,81,30
274f18c7-635a-46e6-bb6f-d2fbd833df8c,provider_3,5,47.0,81,30
