Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,1,95.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,2,66.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,3,49.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,4,76.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,5,62.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,6,52.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,7,43.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,8,50.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,9,47.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_0,10,40.0,95,30
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,1,40.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,2,33.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,3,28.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,4,27.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,5,26.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,6,26.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,7,26.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,8,24.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,9,24.0,40,24
2da1b834-3000-48ca-8aca-8db7501010fc,provider_1,10,24.0,40,24
