Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,1,89.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,2,57.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,3,48.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,4,49.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,5,79.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,6,48.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,7,48.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,8,39.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,9,28.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_0,10,28.0,89,24
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,1,40.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,2,34.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,3,31.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,4,30.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,5,30.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,6,30.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,7,30.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,8,30.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,9,28.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_1,10,25.0,40,22
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,1,83.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,2,68.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,3,55.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,4,46.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,5,40.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,6,43.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,7,49.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,8,42.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,9,39.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_2,10,35.0,83,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,1,86.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,2,51.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,3,45.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,4,37.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,5,39.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,6,59.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,7,50.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,8,37.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,9,33.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_3,10,31.0,86,25
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,1,98.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,2,80.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,3,68.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,4,51.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,5,45.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,6,65.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,7,55.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,8,34.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,9,44.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_4,10,36.0,98,30
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,1,82.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,2,67.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,3,50.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,4,41.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,5,69.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,6,42.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,7,57.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,8,47.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,9,42.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_5,10,39.0,82,28
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,1,99.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,2,41.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,3,42.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,4,53.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,5,55.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,6,52.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,7,54.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,8,76.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,9,59.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_6,10,51.0,99,31
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,1,95.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,2,60.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,3,42.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,4,36.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,5,65.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,6,55.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,7,42.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,8,49.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,9,48.0,95,34
2e8df65e-ac11-4329-bb07-1b0fb0fb9c58,provider_7,10,38.0,95,34
