Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,1,83.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,2,68.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,3,51.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,4,43.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,5,44.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,6,46.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,7,38.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,8,41.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,9,41.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_0,10,37.0,83,29
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,1,40.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,2,37.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,3,31.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,4,37.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,5,32.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,6,28.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,7,26.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,8,37.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,9,28.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_1,10,27.0,40,25
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,1,83.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,2,62.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,3,52.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,4,50.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,5,44.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,6,44.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,7,45.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,8,46.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,9,54.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_2,10,49.0,83,35
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,1,87.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,2,52.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,3,50.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,4,45.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,5,82.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,6,50.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,7,50.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,8,49.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,9,81.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_3,10,63.0,87,37
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,1,87.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,2,55.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,3,45.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,4,40.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,5,41.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,6,38.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,7,38.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,8,37.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,9,34.0,87,21
329f3ba3-6798-41a8-9090-55898f8aed71,provider_4,10,30.0,87,21
