Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,1,98.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,2,59.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,3,53.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,4,57.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,5,55.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,6,85.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,7,63.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,8,42.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,9,65.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_0,10,55.0,98,39
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,1,40.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,2,34.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,3,29.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,4,29.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,5,30.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,6,29.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,7,31.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,8,31.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,9,30.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_1,10,35.0,40,29
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,1,88.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,2,57.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,3,47.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,4,45.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,5,46.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,6,40.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,7,43.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,8,40.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,9,36.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_2,10,32.0,88,22
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,1,85.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,2,69.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,3,57.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,4,49.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,5,43.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,6,46.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,7,47.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,8,48.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,9,46.0,85,32
32a668dd-98af-44aa-a720-1e68e9b44546,provider_3,10,44.0,85,32
