Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,1,99.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,2,60.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,3,45.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,4,53.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,5,46.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,6,43.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,7,44.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,8,84.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,9,69.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_0,10,62.0,99,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,1,40.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,2,33.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,3,28.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,4,28.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,5,28.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,6,27.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,7,27.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,8,27.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,9,25.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_1,10,24.0,40,23
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,1,87.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,2,55.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,3,46.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,4,44.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,5,76.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,6,59.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,7,59.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,8,42.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,9,56.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_2,10,53.0,87,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,1,99.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,2,60.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,3,45.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,4,49.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,5,55.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,6,48.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,7,55.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,8,41.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,9,75.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_3,10,63.0,99,34
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,1,85.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,2,69.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,3,48.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,4,41.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,5,43.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,6,43.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,7,45.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,8,42.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,9,41.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_4,10,37.0,85,30
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,1,95.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,2,66.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,3,52.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,4,69.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,5,87.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,6,53.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,7,54.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,8,56.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,9,51.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_5,10,71.0,95,38
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,1,85.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,2,55.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,3,48.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,4,44.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,5,40.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,6,40.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,7,40.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,8,40.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,9,38.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_6,10,36.0,85,27
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,1,90.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,2,37.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,3,35.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,4,40.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,5,58.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,6,46.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,7,58.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,8,33.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,9,44.0,90,32
3388292c-5cc3-4f83-a312-3cb162a34cc4,provider_7,10,40.0,90,32
