Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,1,99.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,2,81.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,3,60.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,4,53.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,5,55.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,6,56.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,7,47.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,8,39.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,9,49.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_0,10,44.0,99,30
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,1,40.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,2,34.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,3,34.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,4,32.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,5,32.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,6,39.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,7,38.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,8,39.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,9,33.0,40,32
384fa81d-38b0-432c-98ef-8532aab73939,provider_1,10,39.0,40,32
