Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,1,96.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,2,58.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,3,94.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,4,83.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,5,58.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,6,52.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,7,53.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,8,50.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,9,45.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_0,10,38.0,96,32
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,1,40.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,2,33.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,3,27.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,4,27.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,5,27.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,6,27.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,7,27.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,8,27.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,9,25.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_1,10,23.0,40,20
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,1,81.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,2,66.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,3,46.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,4,43.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,5,38.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,6,38.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,7,38.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,8,35.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,9,32.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_2,10,30.0,81,22
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,1,93.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,2,65.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,3,55.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,4,47.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,5,48.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,6,77.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,7,44.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,8,40.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,9,37.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_3,10,32.0,93,26
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,1,98.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,2,58.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,3,49.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,4,41.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,5,42.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,6,47.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,7,26.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,8,34.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,9,44.0,98,25
38be9c64-65ea-476c-8a6c-ad6929ac83b9,provider_4,10,40.0,98,25
