Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,1,95.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,2,77.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,3,65.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,4,50.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,5,67.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,6,52.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,7,85.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,8,39.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,9,46.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_0,10,45.0,95,39
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,1,40.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,2,38.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,3,39.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,4,39.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,5,39.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,6,39.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,7,38.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,8,38.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,9,39.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_1,10,39.0,40,38
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,1,81.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,2,66.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,3,49.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,4,42.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,5,40.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,6,38.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,7,42.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,8,37.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,9,37.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_2,10,38.0,81,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,1,94.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,2,60.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,3,44.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,4,36.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,5,37.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,6,35.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,7,40.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,8,33.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,9,33.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_3,10,31.0,94,21
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,1,93.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,2,25.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,3,26.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,4,25.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,5,28.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,6,32.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,7,32.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,8,40.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,9,32.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_4,10,32.0,93,25
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,1,85.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,2,69.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,3,48.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,4,43.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,5,44.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,6,46.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,7,47.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,8,38.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,9,73.0,85,30
3b29b635-53f8-45f7-9a27-91ccf0d179fa,provider_5,10,51.0,85,30
