Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,1,90.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,2,58.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,3,49.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,4,50.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,5,81.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,6,49.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,7,45.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,8,37.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,9,33.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_0,10,33.0,90,23
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,1,40.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,2,37.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,3,32.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,4,33.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,5,34.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,6,36.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,7,29.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,8,29.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,9,28.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_1,10,28.0,40,28
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,1,86.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,2,41.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,3,46.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,4,44.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,5,44.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,6,45.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,7,46.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,8,44.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,9,43.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_2,10,43.0,86,30
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_3,1,95.0,95,35
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_3,2,60.0,95,35
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_3,3,50.0,95,35
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_3,4,63.0,95,35
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_3,5,48.0,95,35
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_3,6,52.0,95,35
3ba7ad22-20ea-4c20-896e-1382c6d88106,provider_3,7,60.0,95,35
