Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,1,83.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,2,62.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,3,44.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,4,57.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,5,48.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,6,48.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,7,50.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,8,46.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,9,56.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_0,10,50.0,83,35
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,1,40.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,2,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,3,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,4,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,5,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,6,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,7,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,8,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,9,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_1,10,39.0,40,39
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,1,83.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,2,68.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,3,47.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,4,35.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,5,40.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,6,42.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,7,43.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,8,44.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,9,39.0,83,26
3fc4f5d2-a9a0-41f0-98c3-af88d026ec01,provider_2,10,35.0,83,26
