Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,1,99.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,2,64.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,3,55.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,4,47.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,5,48.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,6,34.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,7,46.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,8,48.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,9,79.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_0,10,57.0,99,30
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,1,40.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,2,35.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,3,35.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,4,39.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,5,39.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,6,37.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,7,38.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,8,35.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,9,38.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_1,10,38.0,40,35
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,1,85.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,2,55.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,3,46.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,4,37.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,5,38.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,6,39.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,7,38.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,8,32.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,9,32.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_2,10,32.0,85,20
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,1,81.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,2,51.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,3,43.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,4,42.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,5,43.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,6,32.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,7,32.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,8,32.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,9,32.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_3,10,30.0,81,21
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,1,88.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,2,61.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,3,51.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,4,45.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,5,78.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,6,47.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,7,47.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,8,48.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,9,47.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_4,10,47.0,88,36
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_5,1,98.0,98,22
40a599b1-84e6-4bf6-923c-c45a60276ac8,provider_5,2,63.0,98,22
