Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,1,86.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,2,70.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,3,52.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,4,44.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,5,45.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,6,52.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,7,44.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,8,45.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,9,42.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_0,10,37.0,86,30
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,1,40.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,2,34.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,3,35.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,4,35.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,5,33.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,6,37.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,7,38.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,8,39.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,9,37.0,40,32
40ba1b09-ba86-4ee1-aa6c-62f2b818b8a2,provider_1,10,38.0,40,32
