Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,1,81.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,2,66.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,3,46.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,4,42.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,5,44.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,6,47.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,7,43.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,8,40.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,9,36.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_0,10,33.0,81,24
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,1,40.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,2,34.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,3,29.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,4,28.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,5,27.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,6,27.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,7,27.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,8,27.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,9,29.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_1,10,27.0,40,27
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,1,86.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,2,55.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,3,50.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,4,48.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,5,50.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,6,48.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,7,66.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,8,48.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,9,37.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_2,10,62.0,86,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,1,96.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,2,62.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,3,51.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,4,41.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,5,42.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,6,45.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,7,45.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,8,36.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,9,37.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_3,10,34.0,96,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,1,84.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,2,70.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,3,53.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,4,45.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,5,45.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,6,44.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,7,60.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,8,44.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,9,41.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_4,10,73.0,84,33
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,1,95.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,2,60.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,3,51.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,4,45.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,5,38.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,6,42.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,7,45.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,8,36.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,9,53.0,95,25
47ae359e-b564-4fd8-b6e6-3a90b212ecd4,provider_5,10,47.0,95,25
