Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,1,93.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,2,59.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,3,51.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,4,47.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,5,48.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,6,52.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,7,45.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,8,41.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,9,40.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_0,10,40.0,93,29
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,1,40.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,2,35.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,3,30.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,4,30.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,5,30.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,6,30.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,7,30.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,8,35.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,9,35.0,40,24
47cccba9-2ed0-4ec1-a38e-5ca7f7cfeeb7,provider_1,10,35.0,40,24
