Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,1,98.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,2,62.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,3,44.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,4,51.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,5,64.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,6,57.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,7,57.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,8,47.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,9,42.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_0,10,46.0,98,37
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,1,40.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,2,34.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,3,36.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,4,36.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,5,32.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,6,38.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,7,39.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,8,35.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,9,30.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_1,10,34.0,40,30
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,1,92.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,2,75.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,3,61.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,4,46.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,5,60.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,6,46.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,7,63.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,8,46.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,9,40.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_2,10,38.0,92,36
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,1,81.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,2,68.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,3,55.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,4,61.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,5,72.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,6,53.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,7,73.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,8,53.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,9,49.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_3,10,37.0,81,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,1,83.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,2,68.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,3,47.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,4,40.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,5,43.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,6,32.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,7,32.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,8,32.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,9,32.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_4,10,32.0,83,25
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,1,84.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,2,68.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,3,57.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,4,39.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,5,40.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,6,40.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,7,42.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,8,39.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,9,36.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_5,10,32.0,84,24
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,1,87.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,2,71.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,3,49.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,4,42.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,5,44.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,6,47.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,7,46.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,8,62.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,9,38.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_6,10,36.0,87,31
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,1,88.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,2,56.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,3,47.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,4,49.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,5,75.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,6,45.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,7,48.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,8,49.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,9,43.0,88,35
499c23be-0557-405b-9835-d41bcccf96d3,provider_7,10,42.0,88,35
