Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,1,98.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,2,63.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,3,44.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,4,55.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,5,89.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,6,54.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,7,51.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,8,42.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,9,38.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_0,10,39.0,98,28
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,1,40.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,2,35.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,3,30.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,4,34.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,5,34.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,6,34.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,7,35.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,8,29.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,9,26.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_1,10,26.0,40,26
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_2,1,97.0,97,33
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_2,2,67.0,97,33
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_2,3,50.0,97,33
4a5c3d77-2278-4316-afdf-0e139ac01f07,provider_2,4,65.0,97,33
