Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,1,94.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,2,70.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,3,53.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,4,90.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,5,38.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,6,69.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,7,56.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,8,53.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,9,54.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_0,10,50.0,94,38
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,1,40.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,2,34.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,3,29.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,4,27.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,5,27.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,6,27.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,7,27.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,8,27.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,9,27.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_1,10,27.0,40,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,1,81.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,2,66.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,3,54.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,4,45.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,5,40.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,6,38.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,7,35.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,8,36.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,9,32.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_2,10,29.0,81,20
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,1,82.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,2,34.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,3,66.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,4,42.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,5,43.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,6,43.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,7,43.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,8,43.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,9,40.0,82,29
4afc4c4a-241e-4c5f-8bc5-4f708754791f,provider_3,10,40.0,82,29
