Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,1,81.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,2,67.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,3,54.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,4,36.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,5,37.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,6,37.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,7,66.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,8,44.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,9,40.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_0,10,36.0,81,22
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,1,40.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,2,32.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,3,27.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,4,26.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,5,25.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,6,25.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,7,25.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,8,23.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,9,23.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_1,10,23.0,40,21
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,1,98.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,2,80.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,3,60.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,4,71.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,5,54.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,6,52.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,7,84.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,8,57.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,9,39.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_2,10,52.0,98,39
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,1,90.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,2,62.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,3,52.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,4,44.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,5,59.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,6,50.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,7,57.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,8,53.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,9,52.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_3,10,49.0,90,37
4d1b3971-990c-4642-8020-261e7560e1d0,provider_4,1,81.0,81,38
4d1b3971-990c-4642-8020-261e7560e1d0,provider_4,2,60.0,81,38
