Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,1,98.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,2,80.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,3,65.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,4,50.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,5,48.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,6,92.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,7,69.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,8,40.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,9,42.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_0,10,41.0,98,39
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,1,40.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,2,38.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,3,38.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,4,39.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,5,39.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,6,39.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,7,38.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,8,38.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,9,38.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_1,10,38.0,40,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,1,88.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,2,36.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,3,37.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,4,36.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,5,37.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,6,36.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,7,49.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,8,47.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,9,44.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_2,10,39.0,88,27
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,1,82.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,2,57.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,3,47.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,4,42.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,5,76.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,6,62.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,7,53.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,8,50.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,9,49.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_3,10,49.0,82,38
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,1,95.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,2,60.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,3,49.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,4,40.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,5,45.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,6,37.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,7,41.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,8,33.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,9,31.0,95,22
4d317cc7-5e6a-422f-a956-2b1b7d0a98c8,provider_4,10,31.0,95,22
