Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,1,85.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,2,54.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,3,45.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,4,46.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,5,40.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,6,40.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,7,41.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,8,42.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,9,34.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_0,10,34.0,85,23
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,1,40.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,2,38.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,3,36.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,4,39.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,5,34.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,6,36.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,7,37.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,8,35.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,9,36.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_1,10,35.0,40,33
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,1,95.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,2,66.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,3,55.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,4,50.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,5,50.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,6,45.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,7,59.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,8,65.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,9,58.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_2,10,52.0,95,38
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,1,86.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,2,55.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,3,51.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,4,49.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,5,47.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,6,42.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,7,45.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,8,42.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,9,41.0,86,30
4f87e0cb-10e1-47a4-a074-fad595076f14,provider_3,10,40.0,86,30
