Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,1,92.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,2,59.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,3,46.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,4,47.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,5,48.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,6,48.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,7,40.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,8,58.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,9,38.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_0,10,38.0,92,24
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,1,40.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,2,34.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,3,34.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,4,33.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,5,34.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,6,34.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,7,39.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,8,33.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,9,33.0,40,33
5501cb25-9a1f-48ea-b56e-6ded553a44ce,provider_1,10,36.0,40,33
