Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,1,92.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,2,64.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,3,49.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,4,50.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,5,52.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,6,44.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,7,45.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,8,49.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,9,47.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_0,10,44.0,92,35
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,1,40.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,2,38.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,3,39.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,4,37.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,5,38.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,6,37.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,7,38.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,8,38.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,9,39.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_1,10,37.0,40,37
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,1,96.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,2,78.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,3,54.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,4,45.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,5,47.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,6,51.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,7,59.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,8,45.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,9,46.0,96,32
57818847-b35e-436c-97a9-e4c5b4ea6c8b,provider_2,10,46.0,96,32
