Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,1,80.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,2,65.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,3,53.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,4,58.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,5,40.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,6,30.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,7,31.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,8,31.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,9,31.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_0,10,31.0,80,22
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,1,40.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,2,34.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,3,29.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,4,27.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,5,29.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,6,28.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,7,27.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,8,25.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,9,25.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_1,10,33.0,40,25
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,1,89.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,2,62.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,3,53.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,4,51.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,5,40.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,6,73.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,7,54.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,8,50.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,9,61.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_2,10,54.0,89,38
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,1,96.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,2,58.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,3,49.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,4,40.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,5,34.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,6,38.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,7,47.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,8,39.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,9,29.0,96,21
5a2a8412-e8d9-4d09-9fe4-66aa4b87cde6,provider_3,10,29.0,96,21
