Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,1,85.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,2,69.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,3,48.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,4,46.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,5,46.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,6,45.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,7,45.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,8,44.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,9,39.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_0,10,38.0,85,28
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,1,40.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,2,30.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,3,36.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,4,30.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,5,30.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,6,30.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,7,30.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,8,27.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,9,25.0,40,22
5aa4aeea-bca6-40a5-9730-d57929fb0e10,provider_1,10,28.0,40,22
