Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,1,94.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,2,65.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,3,57.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,4,51.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,5,49.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,6,64.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,7,88.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,8,74.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,9,45.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_0,10,42.0,94,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,1,40.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,2,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,3,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,4,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,5,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,6,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,7,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,8,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,9,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_1,10,39.0,40,39
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,1,94.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,2,39.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,3,40.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,4,41.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,5,42.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,6,47.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,7,48.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,8,84.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,9,63.0,94,26
5b181904-515c-4e51-b568-eb1fdb6c8b99,provider_2,10,43.0,94,26
