Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,1,84.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,2,50.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,3,42.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,4,43.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,5,44.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,6,41.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,7,40.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,8,39.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,9,35.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_0,10,34.0,84,21
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,1,40.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,2,35.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,3,39.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,4,37.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,5,38.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,6,39.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,7,37.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,8,38.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,9,36.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_1,10,38.0,40,35
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,1,99.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,2,81.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,3,66.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,4,56.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,5,43.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,6,84.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,7,58.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,8,53.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,9,54.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_2,10,49.0,99,37
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,1,86.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,2,55.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,3,46.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,4,75.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,5,52.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,6,45.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,7,44.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,8,40.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,9,36.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_3,10,35.0,86,28
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,1,99.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,2,63.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,3,54.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,4,71.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,5,53.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,6,48.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,7,49.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,8,73.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,9,53.0,99,32
5bc3f1ef-1da2-4db4-8ca7-8d44e3db1581,provider_4,10,47.0,99,32
