Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,1,80.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,2,60.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,3,50.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,4,43.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,5,45.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,6,43.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,7,59.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,8,45.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,9,40.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_0,10,39.0,80,38
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,1,40.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,2,38.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,3,32.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,4,31.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,5,31.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,6,31.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,7,30.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,8,29.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,9,31.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_1,10,29.0,40,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,1,86.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,2,36.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,3,38.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,4,75.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,5,56.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,6,49.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,7,49.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,8,48.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,9,44.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_2,10,49.0,86,36
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,1,83.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,2,68.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,3,48.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,4,44.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,5,39.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,6,39.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,7,43.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,8,35.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,9,32.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_3,10,29.0,83,21
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,1,85.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,2,59.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,3,49.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,4,47.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,5,41.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,6,44.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,7,51.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,8,40.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,9,40.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_4,10,36.0,85,28
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,1,83.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,2,53.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,3,44.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,4,33.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,5,34.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,6,33.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,7,33.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,8,32.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,9,28.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_5,10,28.0,83,20
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,1,97.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,2,63.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,3,53.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,4,45.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,5,46.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,6,50.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,7,42.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,8,68.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,9,42.0,97,27
5c462d81-96ba-4106-be0a-b882947adc83,provider_6,10,40.0,97,27
