Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,1,91.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,2,74.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,3,65.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,4,50.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,5,48.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,6,49.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,7,51.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,8,47.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,9,44.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_0,10,45.0,91,34
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,1,40.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,2,35.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,3,30.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,4,29.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,5,29.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,6,29.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,7,29.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,8,27.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,9,27.0,40,23
5c4e559f-c03c-4a3b-8011-c58adc5db4f9,provider_1,10,27.0,40,23
