Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,1,87.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,2,56.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,3,47.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,4,38.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,5,36.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,6,51.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,7,48.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,8,40.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,9,36.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_0,10,34.0,87,23
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,1,40.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,2,35.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,3,27.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,4,26.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,5,26.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,6,26.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,7,26.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,8,24.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,9,23.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_1,10,22.0,40,21
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,1,86.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,2,55.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,3,46.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,4,44.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,5,45.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,6,39.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,7,49.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,8,44.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,9,38.0,86,25
5e3cf615-5fb9-44c3-b858-e0e9cddc67fb,provider_2,10,34.0,86,25
