Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,1,85.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,2,51.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,3,46.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,4,44.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,5,80.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,6,48.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,7,43.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,8,35.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,9,35.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_0,10,34.0,85,27
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,1,40.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,2,33.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,3,28.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,4,27.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,5,27.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,6,27.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,7,25.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,8,25.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,9,24.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_1,10,25.0,40,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,1,92.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,2,59.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,3,42.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,4,44.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,5,45.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,6,37.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,7,71.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,8,58.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,9,33.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_2,10,29.0,92,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,1,97.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,2,79.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,3,73.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,4,57.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,5,45.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,6,49.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,7,96.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,8,55.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,9,42.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_3,10,55.0,97,35
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,1,96.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,2,62.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,3,52.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,4,37.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,5,38.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,6,26.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,7,28.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,8,37.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,9,28.0,96,21
5e4c5a71-901a-4256-a183-3f377140c874,provider_4,10,27.0,96,21
