Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,1,99.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,2,63.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,3,52.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,4,42.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,5,40.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,6,42.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,7,57.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,8,41.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,9,29.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_0,10,44.0,99,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,1,40.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,2,33.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,3,28.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,4,28.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,5,28.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,6,28.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,7,29.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,8,28.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,9,27.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_1,10,36.0,40,27
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,1,97.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,2,63.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,3,53.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,4,39.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,5,40.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,6,42.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,7,34.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,8,65.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,9,52.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_2,10,81.0,97,24
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_3,1,95.0,95,33
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_3,2,77.0,95,33
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_3,3,57.0,95,33
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_3,4,48.0,95,33
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_3,5,50.0,95,33
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_3,6,80.0,95,33
60d51d6c-005e-42f3-8b3d-e1bdc4409d87,provider_3,7,56.0,95,33
