Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,1,82.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,2,67.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,3,50.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,4,44.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,5,40.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,6,43.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,7,58.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,8,42.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,9,41.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_0,10,40.0,82,31
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,1,40.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,2,38.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,3,32.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,4,35.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,5,36.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,6,34.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,7,37.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,8,35.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,9,32.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_1,10,37.0,40,32
62b004c0-4942-49db-9471-753fefe7bdd1,provider_2,1,94.0,94,20
62b004c0-4942-49db-9471-753fefe7bdd1,provider_2,2,61.0,94,20
62b004c0-4942-49db-9471-753fefe7bdd1,provider_2,3,42.0,94,20
62b004c0-4942-49db-9471-753fefe7bdd1,provider_2,4,34.0,94,20
62b004c0-4942-49db-9471-753fefe7bdd1,provider_2,5,35.0,94,20
62b004c0-4942-49db-9471-753fefe7bdd1,provider_2,6,36.0,94,20
