Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,1,99.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,2,64.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,3,53.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,4,40.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,5,50.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,6,40.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,7,55.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,8,44.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,9,36.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_0,10,32.0,99,24
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,1,40.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,2,34.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,3,29.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,4,29.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,5,35.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,6,35.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,7,36.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,8,37.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,9,35.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_1,10,35.0,40,26
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,1,88.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,2,36.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,3,61.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,4,46.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,5,47.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,6,47.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,7,48.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,8,45.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,9,40.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_2,10,35.0,88,31
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,1,85.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,2,69.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,3,56.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,4,44.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,5,39.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,6,39.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,7,39.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,8,35.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,9,34.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_3,10,35.0,85,21
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,1,86.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,2,52.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,3,50.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,4,45.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,5,46.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,6,45.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,7,52.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,8,44.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,9,46.0,86,35
638e8c0e-3d8f-4d39-96a2-1c7dbcd86bb3,provider_4,10,45.0,86,35
