Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,1,80.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,2,65.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,3,45.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,4,43.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,5,44.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,6,41.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,7,42.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,8,42.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,9,39.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_0,10,39.0,80,30
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,1,40.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,2,32.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,3,37.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,4,31.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,5,30.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,6,30.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,7,30.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,8,35.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,9,32.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_1,10,28.0,40,28
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,1,98.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,2,62.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,3,52.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,4,39.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,5,44.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,6,38.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,7,44.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,8,29.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,9,30.0,98,25
6421353f-a04c-441a-8ea6-31a17684bf92,provider_2,10,35.0,98,25
