Auction_ID,Agent,Round,My_Bid,My_Max,My_Min
67322e52-2470-4367-ba70-627ce91ae019,provider_0,1,91.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,2,59.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,3,49.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,4,47.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,5,32.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,6,32.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,7,33.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,8,33.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,9,34.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_0,10,34.0,91,21
67322e52-2470-4367-ba70-627ce91ae019,provider_1,1,40.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,2,39.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,3,37.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,4,38.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,5,39.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,6,39.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,7,37.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,8,36.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,9,36.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_1,10,39.0,40,36
67322e52-2470-4367-ba70-627ce91ae019,provider_2,1,97.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,2,79.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,3,55.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,4,46.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,5,46.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,6,39.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,7,58.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,8,41.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,9,44.0,97,35
67322e52-2470-4367-ba70-627ce91ae019,provider_2,10,42.0,97,35
